AQUIFER,SLOPE,CAVES,FAULTS,WATERCO,KARST_RO,V_DOLINE,AREA,SVC,ME,BFI,RC,K,I,KA,MIN-MAX,Q25-Q50,CV,RT,SIGMA-RT,DK,DI,STD,MEAN,MEDIAN,MIN,MAX,VD,VT
SAVICA,25.042999,4.586044,0.0,0.111243,88.091406,0.018068452196503906,43.31,22.690870488322723,5,0.4372616656911393,0.046949117835546256,0.07438312898421184,0.16521914927593567,0.09018731186732024,0.0005546900816692631,2.2292993630573252,1.7244458980866075,6.9257130562046925,0.2122656412511467,0.04043637791179927,0.05192636267623249,7.812941400006756,4.530696734919754,1.925,0.047,84.732,10627865.354475718,142880052.23242936
BOHINJSKA BISTRICA,30.22786,3.015394,0.0,0.041373,75.812482,4.3727019760019585,35.15,16.088358170107664,3,0.42831803872466057,0.012039442113013912,0.18660017103936813,0.2396268099732196,0.09412984663533071,0.001915933892187091,2.0421053860159666,1.6778020266729419,7.095499780609002,0.2225577262123055,0.10118142001593008,0.0673311957798657,5.205568344448848,3.1026117871435748,1.3122365,0.121438,63.383188999999994,18257700.66376254,97843965.31935978
BILPA,8.239329,1.910098,0.176601,0.330652,60.71568,1.1518008809499105,61.88,30.9649176919474,10,0.29545379336019395,0.03341006489745047,0.026402903756889848,0.41150503195453,0.07375092201259432,0.008179853581335338,1.70423859187506,1.7101119731838954,11.610923870803694,0.3143826891771499,0.010625502269633777,0.31505847517703506,5.854789702138862,3.4236294429530156,0.8031480000000001,0.247304,30.233304,2850657.573781136,107967578.1129663
IŽICA,12.873609,0.564498,0.756753,0.488599,33.12264,0.9524922772289663,28.34,5.357960706214125,12,0.6046462405726482,0.012153477839598541,0.4231791946918499,0.22417463132361992,0.21072087445038382,0.04293921124402251,1.2730923888315286,1.004456336651691,11.77189184415789,0.3334750248739843,0.2812297717613072,0.08642751931317462,2.015702724919972,2.0067599271056666,1.2680596,0.5530596000000001,12.880059600000001,26780971.95740835,63285181.06120431
VELIKI OBRH PRI LOŽU,12.960005,0.495152,0.307013567567568,0.031106,78.842073,0.4484853119140391,49.89,18.354893660651516,16,0.4664915163669561,0.020972453102409274,0.0792135482078436,0.24815936837960648,0.17316309039307667,0.006285138175916331,1.960964883310144,1.5254482076629114,18.103575033515586,0.37872185808758224,0.021854966070250278,0.04285291604744371,3.0704520118715117,2.012819574238872,0.9203220000000001,0.189285,30.116283,5028181.214789952,63476278.09319706
POLTARICA*,10.783061,2.102918,0.087984,0.003994,97.233611,1.3421603143886702,33.27,17.781333333333343,17,0.49631269452054955,0.021904098302744812,0.14546980806752194,0.43672965617180226,0.23224486675448938,0.00824209619879444,2.0631229235880397,1.1842594141638247,22.559572385000678,0.4238484813703421,0.04297141409685555,0.07076725787604331,1.3421558656610206,1.1333292770221992,0.621,0.067,8.129,5199188.707706872,35740672.08017208
PREČNA,9.318184,0.957312,0.058277,0.11706,65.658237,0.8631760790720053,214.14,5.920853369844374,18,0.6391621811934503,0.006435711080915643,0.4229854544838745,0.43285823312261507,0.28497988015634457,0.02030490794811216,1.4709743117622145,1.0351783378935795,26.06790280543038,0.44680438711996723,0.028082460720137568,0.0627890919263332,4.203568885118589,4.060719521693404,2.59,0.911,44.866,54167031.22160026,128058850.83612318
TEŽKA VODA,12.121817,0.58142,0.0,0.013548,35.955084,1.5812704351124005,34.0,11.651054869793738,17,0.5796366634906797,0.019480944948329918,0.1389039436007852,0.40738230914550067,0.2667389284076548,0.007895101290620805,1.872739685585652,1.200446667186915,27.45437859963172,0.465456609028476,0.028065917632516528,0.055033291201086236,0.9567375754501616,0.796984657129456,0.45672749999999995,0.06886600000000001,8.722624,3491171.17896206,25133708.147234526
VIPAVA*,15.45606,2.360724,0.110737,0.137362,88.878708,0.6936292980694132,179.47,13.23178798383665,6,0.45939682439237717,0.013243483327321512,0.2000017920446676,0.226481638675458,0.13861313550357712,0.00999868533850323,1.7050335255347746,1.39491686911536,13.20974542647814,0.31949934388386525,0.06995167381688816,0.057439811164022456,8.567021926590455,6.141600346423196,2.6645015,0.8141710000000001,81.427805,38736648.79087494,193681508.5248019
HUBELJ,18.971779,1.534259,0.261026,0.000192,93.539148,2.179131360848176,68.89,10.035825030538724,6,0.49306969435973474,0.017997597968331943,0.23900403304627868,0.3082678919103064,0.1588505118379293,0.014088670224221632,1.655734154268226,1.3649089011621414,10.997312627448059,0.31673188765675564,0.16384047654521,0.05567473653645322,3.994486859850191,2.9265593157529524,1.467757,0.502469,35.664757,22058154.14280348,92291974.58158511
ILIRSKA BISTRICA,12.670893,0.752562,0.0,0.07657,98.971975,0.8017691509880569,23.92,13.155039317147901,26,0.5852203103780461,0.008921627576584778,0.1119780613728837,0.705565832722086,0.22116611465623556,0.026524688245286376,1.7289926770768385,0.9668209570761167,28.627770581107175,0.46277473348402265,0.025998595949591013,0.07413026568361693,1.5370635472996474,1.5898119874729155,0.759792,0.175792,6.627485999999999,5614166.891909498,50136310.83694586
RIŽANA,11.860271,2.28462,0.207645,0.257878,71.414962,0.6191132613003184,244.68,31.721357412894303,15,0.40669509434588474,0.013754917874262794,0.13975697180751415,0.312625123216025,0.133100577525831,0.0042266058949108,2.2135032425176306,1.5911977399564348,19.496035516547476,0.38827440911028416,0.0648477192596612,0.03537079234382394,6.792895515389632,4.269045477387125,1.46343,0.26793,63.39129,18815287.99475134,134628618.17488036
KRUPA,10.190677,1.2342795873948047,0.133079950630519,0.03398,87.827099,1.3983677428419623,93.98,5.878822412155746,9,0.6121972105268669,0.026895882056300707,0.165233298378661,0.23282478270478918,0.2705182154746133,0.021513770061824762,1.5516194331983806,1.0952232552407333,19.10364507945773,0.3866408327201616,0.06839167425708859,0.06892401081904775,3.5995422398586148,3.2865830985915516,2.2995,0.689,32.026,17125718.328706954,103645684.59718317
KRKA,9.409363,1.232066,0.182253,0.583663,59.848228,0.6922484870182538,206.97,9.186046511627907,16,0.5558790154156944,0.02823086832146202,0.1289637409386071,0.34486822733611994,0.24783594774200418,0.008768075612447152,1.7224952741020794,1.225112273529885,22.25010566656833,0.4111899485810517,0.03598835437683709,0.060350692499923524,9.260571656691786,7.558957539466595,4.556,0.898,102.417,30742284.351307467,238379284.96461856
LIPNICA,16.807627,3.341169,0.088008,1.109077,64.862969,3.9533886648960284,40.405023,13.02511627906977,5,0.42789231335047795,0.019766105434431972,0.07866769595222572,0.17997919699555684,0.1032812694662537,0.006436276378641429,1.6582867783985102,1.7509130039394072,9.750585235011792,0.2718785276795604,0.003940721472931625,0.031026168867516746,4.1044203674577195,2.344160080040024,0.8905000000000001,0.287,44.591,5815543.43006575,73925432.2841422
